StationId,PlatformId,Type,StationName,PlatformX,PlatformY,RoutesCount,Autobus,Trolley,Tramway,Taxi,Metro,ElectricTrain,Funicular,Monorail,RiverTransport,Ropeway,Aeroexpress
4504385606387621,4504282527174783,Автобус,Центр культуры,37.5075753603096,55.6385955138442,9,196|295|712|699|145к|250|361|827|196к,,,,,,,,,,
4504385606387619,4504282527174784,Автобус,Академика Арцимовича,37.512168895515,55.6368255824158,9,196|295|712|699|145к|250|361|827|196к,,,,,,,,,,
4504385606387618,4504282527174785,Автобус,Метро Коньково,37.5183696964266,55.6347944296035,9,196|295|712|699|145к|250|361|827|196к,,,,,,,,,,
4504385606387627,4504282527174796,Автобус,Школа им. Соломатина,37.5434414963434,55.6053547804061,4,264|642|648|С14,,,,,,,,,,
4504385606387627,4504282527174798,Автобус,Школа им. Соломатина,37.5438039665605,55.6056434269432,5,642к|264|642|648|С14,,,,,,,,,,
4504385606387630,4504282527174807,Автобус,Паустовского,37.541914809518,55.6042718283374,4,264|642|781,81,,,,,,,,,
4504385606387600,4504282527174808,Автобус,Метро Ясенево,37.5356369331549,55.6056227294912,6,165|264|642|781|202,81,,,,,,,,,
4504385606387600,4504282527174811,Автобус,Метро Ясенево,37.5353899862833,55.6054967646634,9,165|642к|264|642|769|781|769к|202,81,,,,,,,,,
4504385606387600,4504282527174812,Автобус,Метро Ясенево,37.5354583480764,55.6067874653576,4,330|977|С14,85,,,,,,,,,
4504385606387632,4504282527174814,Автобус,Универмаг Ясенево,37.5383322383334,55.6110499173296,4,330|977|С14,85,,,,,,,,,
4504385606387632,4504282527174816,Автобус,Универмаг Ясенево,37.5359102904959,55.6114991956294,6,642к|330|769|977|С14,85,,,,,,,,,
4504385606387600,4504282527174817,Автобус,Метро Ясенево,37.5329159361593,55.6070591167975,6,642к|330|769|977|С14,85,,,,,,,,,
4504385606387618,4504282527174822,Автобус,Метро Коньково,37.519801521158,55.6335840821713,5,С2|235|250,72|81,,,,,,,,,
4504385606387637,4504282527174825,Автобус,Новоконьково,37.5165806117068,55.6293773017827,5,С2|235|250,72|81,,,,,,,,,
4504385606387639,4504282527174828,Автобус,Палеонтологический институт,37.5121859635053,55.6255457375954,5,С2|235|250,72|81,,,,,,,,,
4504385606387642,4504282527174831,Автобус,Метро Тёплый Стан (Северный вестибюль),37.5063507769143,55.6207088716239,5,С2|235|250,72|81,,,,,,,,,
4504385606387642,4504282527174836,Автобус,Метро Тёплый Стан (Северный вестибюль),37.5066187443636,55.620177296253,6,С2|49|235|250,72|81,,,,,,,,,
4504385606387639,4504282527174838,Автобус,Палеонтологический институт,37.5134435150716,55.6262187929804,6,С2|49|235|250,72|81,,,,,,,,,
4504385606387637,4504282527174839,Автобус,Новоконьково,37.5177282993138,55.6301665205811,7,С2|49|235|754|250,72|81,,,,,,,,,
4504385606387618,4504282527174840,Автобус,Метро Коньково,37.5191346118911,55.6321432837695,7,С2|49|235|754|250,72|81,,,,,,,,,
4504385606387645,4504282527174842,Автобус,Метро Тёплый Стан,37.508985086485,55.6171999946919,8,264|781|647|281|С14,72|81,,б/н (Тёплый Стан - Одоевского),,,,,,,
4504385606387646,4504282527174843,Автобус,Новоясеневский проспект д.8,37.5171420587594,55.6120988693613,9,264|781|647|281|С14,72|81,,894|б/н (Тёплый Стан - Одоевского),,,,,,,
4504385606387647,4504282527174844,Автобус,Новоясеневский проспект д.12,37.5203418578014,55.6097049497716,5,781|С14,72|81,,894,,,,,,,
4504385606387647,4504282527174845,Автобус,Новоясеневский проспект д.12,37.5199134512424,55.6103066849633,5,781|С14,72|81,,894,,,,,,,
4504385606387646,4504282527174846,Автобус,Новоясеневский проспект д.8,37.5160585108637,55.6131935018581,9,264|781|647|281|С14,72|81,,894|б/н (Тёплый Стан - Одоевского),,,,,,,
4504385606387645,4504282527174847,Автобус,Метро Тёплый Стан,37.5087030154858,55.6175123968124,8,878|264|444|647|37|281|804|С14,,,,,,,,,,
4504385606387639,4504282527174848,Автобус,Палеонтологический институт,37.5132806505106,55.6256204543301,1,49,,,,,,,,,,
4504385606387648,4504282527174849,Автобус,Санаторий Узкое,37.5326574010206,55.6233326850382,1,49,,,,,,,,,,
4504385606387649,4504282527174850,Автобус,Академика Капицы,37.5238823878307,55.6291231362872,2,49|754,,,,,,,,,,
4504385606387650,4504282527174851,Автобус,Детский сад (ул. Академика Капицы),37.5230101236898,55.6255996149831,2,49|754,,,,,,,,,,
