Код рубрики,Категория,Рубрика 2го уровня,Рубрика
350,Торговые комплексы / Спецмагазины,Торговые комплексы,Супермаркеты
694,Образование / Работа / Карьера,Дополнительное образование / Развивающие курсы,Бухгалтерские курсы
16757,Образование / Работа / Карьера,Дополнительное образование / Развивающие курсы,Дизайнерские курсы
55666,Образование / Работа / Карьера,Дополнительное образование / Развивающие курсы,Киношколы
678,Образование / Работа / Карьера,Дополнительное образование / Развивающие курсы,Компьютерные курсы
53599,Образование / Работа / Карьера,Дополнительное образование / Развивающие курсы,Кулинарные курсы
53598,Образование / Работа / Карьера,Дополнительное образование / Развивающие курсы,Курсы вокала
53051,Образование / Работа / Карьера,Дополнительное образование / Развивающие курсы,Курсы диджеев
110368,Образование / Работа / Карьера,Дополнительное образование / Развивающие курсы,Курсы сомелье
52160,Образование / Работа / Карьера,Дополнительное образование / Развивающие курсы,Курсы творчества и рукоделия
56437,Образование / Работа / Карьера,Дополнительное образование / Развивающие курсы,Музыкальные курсы
693,Образование / Работа / Карьера,Дополнительное образование / Развивающие курсы,Обучение бизнес-профессиям
676,Образование / Работа / Карьера,Дополнительное образование / Развивающие курсы,Обучение за рубежом
692,Образование / Работа / Карьера,Дополнительное образование / Развивающие курсы,Обучение рабочим профессиям
234,Образование / Работа / Карьера,Дополнительное образование / Развивающие курсы,Профессиональная переподготовка / Повышение квалификации
50532,Образование / Работа / Карьера,Дополнительное образование / Развивающие курсы,Театральные курсы
518,Образование / Работа / Карьера,Дополнительное образование / Развивающие курсы,Школы искусств
19499,Торговые комплексы / Спецмагазины,Торговые комплексы,Торгово-развлекательные центры / Моллы
611,Торговые комплексы / Спецмагазины,Торговые комплексы,Торговые центры / Универсальные магазины
