"Город","Id города","StableId","X","Y","Индекс","Название","Назначение","Название слоя","Застройщики","Субъект федерации","Район области","Район","Площадь","Этажность","Количество подъездов","Количество квартир","коэф семейности 2.7","Округ","Улица1","Дом1","Улица2","Дом2","Улица3","Дом3"
"Москва","4504222397630173","4504235282566403","37.4763933096618","55.628558640032","117133","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","34022","14","8","346","934","Юго-Западный административный округ","Академика Варги улица","5","","","",""
"Москва","4504222397630173","4504235282566406","37.479476687043","55.6308111382202","117133","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","30280","14","7","322","869","Юго-Западный административный округ","Академика Варги улица","1","","","",""
"Москва","4504222397630173","4504235282566432","37.4857146782075","55.6316414412741","117133","","Жилой дом","Жилые дома","","Москва город федерального значения","","Тёплый Стан","17927","9","8","288","778","Юго-Западный административный округ","Тёплый Стан улица","12 к4","","","",""
"Москва","4504222397630173","4504235282567870","37.4964675121584","55.6163762477078","117465","","Жилой дом","Жилые дома","","Москва город федерального значения","","Тёплый Стан","27366","9","12","433","1169","Юго-Западный административный округ","Профсоюзная улица","156 к3","","","",""
"Москва","4504222397630173","4504235282567875","37.4949748714823","55.6170922166513","117465","","Жилой дом","Жилые дома","","Москва город федерального значения","","Тёплый Стан","14071","9","6","216","583","Юго-Западный административный округ","Профсоюзная улица","156 к5","","","",""
"Москва","4504222397630173","4504235282567899","37.4979148777442","55.6156669257561","117465","","Жилой дом","Жилые дома","","Москва город федерального значения","","Тёплый Стан","40333","9","18","645","1742","Юго-Западный административный округ","Профсоюзная улица","156 к1","","","",""
"Москва","4504222397630173","4504235282567910","37.491872270154","55.617214382021","117465","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","20003","17","4","264","713","Юго-Западный административный округ","Генерала Тюленева улица","31 к1","","","",""
"Москва","4504222397630173","4504235282568052","37.4853086396991","55.6321954241994","117133","","Жилой дом","Жилые дома","","Москва город федерального значения","","Тёплый Стан","36176","9","16","575","1553","Юго-Западный административный округ","Тёплый Стан улица","14/2","","","",""
"Москва","4504222397630173","4504235282568112","37.4876588121454","55.6285481194967","117133","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","13373","9","6","216","583","Юго-Западный административный округ","Тёплый Стан улица","8","","","",""
"Москва","4504222397630173","4504235282568121","37.4871792914467","55.6278618898542","117133","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","8863","9","4","143","386","Юго-Западный административный округ","Тёплый Стан улица","6","","","",""
